Name,url,team
Rafael Leão,/fr/player/241721/rafael-le%C3%A3o/,LOSC
Félix Eboa Eboa,/fr/player/239210/f%C3%A9lix-eboa-eboa/,EA Guingamp
Samuel Kalu,/fr/player/237207/samuel-kalu/,Girondins de BX
Edouard Mendy,/fr/player/234642/edouard-mendy/,Stade de Reims
Jonathan Ikoné,/fr/player/234612/jonathan-ikon%C3%A9/,LOSC
Oualid El Hajjam,/fr/player/234514/oualid-el-hajjam/,Amiens SC
Vukašin Jovanović,/fr/player/233219/vuka%C5%A1in-jovanovi%C4%87/,Girondins de BX
Ronaël Pierre-Gabriel,/fr/player/231685/rona%C3%ABl-pierre-gabriel/,AS Monaco
Nuno da Costa,/fr/player/230857/nuno-da-costa/,RC Strasbourg
Assane Dioussé,/fr/player/230144/assane-diouss%C3%A9/,ASSE
Pape Cheikh Diop,/fr/player/226773/pape-cheikh-diop/,OL
Denis Bouanga,/fr/player/225951/denis-bouanga/,Nîmes Olympique
Adama Traoré,/fr/player/225151/adama-traor%C3%A9/,AS Monaco
Paul Bernardoni,/fr/player/223898/paul-bernardoni/,Nîmes Olympique
Yacine Bammou,/fr/player/223875/yacine-bammou/,SM Caen
Alexandre Mendy,/fr/player/223510/alexandre-mendy/,Girondins de BX
Pablo Martinez,/fr/player/223284/pablo-martinez/,RC Strasbourg
Alexis Blin,/fr/player/222982/alexis-blin/,Amiens SC
Saîf-Eddine Khaoui,/fr/player/220029/sa%C3%AEf-eddine-khaoui/,SM Caen
Firmin Mubele,/fr/player/218970/firmin-mubele/,Toulouse FC
Lebogang Phiri,/fr/player/213725/lebogang-phiri/,EA Guingamp
Wesley Saïd,/fr/player/212613/wesley-sa%C3%AFd/,Dijon FCO
Steven Moreira,/fr/player/212401/steven-moreira/,Toulouse FC
Mauro Goicoechea,/fr/player/211327/mauro-goicoechea/,Toulouse FC
Steeve Yago,/fr/player/207746/steeve-yago/,Toulouse FC
Téji Savanier,/fr/player/205686/t%C3%A9ji-savanier/,Nîmes Olympique
Ismaël Diomandé,/fr/player/203435/isma%C3%ABl-diomand%C3%A9/,SM Caen
Mickaël Le Bihan,/fr/player/201145/micka%C3%ABl-le-bihan/,OGC Nice
Benjamin Corgnet,/fr/player/200966/benjamin-corgnet/,RC Strasbourg
Romain Métanire,/fr/player/199781/romain-m%C3%A9tanire/,Stade de Reims
François Moubandje,/fr/player/198067/fran%C3%A7ois-moubandje/,Toulouse FC
Gabriel Silva,/fr/player/197688/gabriel-silva/,ASSE
Benjamin Jeannot,/fr/player/193226/benjamin-jeannot/,Dijon FCO
Mustapha Diallo,/fr/player/192673/mustapha-diallo/,Nîmes Olympique
Damien Le Tallec,/fr/player/190416/damien-le-tallec/,Montpellier HSC
Mehdi Abeid,/fr/player/188600/mehdi-abeid/,Dijon FCO
Tomáš Hubočan,/fr/player/186253/tom%C3%A1%C5%A1-hubo%C4%8Dan/,OM
Rui Fonte,/fr/player/183518/rui-fonte/,LOSC
Yannick Cahuzac,/fr/player/167933/yannick-cahuzac/,Toulouse FC
Jaroslav Plašil,/fr/player/112244/jaroslav-pla%C5%A1il/,Girondins de BX
Aurélien Tchouaméni,/fr/player/241637/aur%C3%A9lien-tchouam%C3%A9ni/,Girondins de BX
Jérémy Grimm,/fr/player/240936/j%C3%A9r%C3%A9my-grimm/,RC Strasbourg
Youcef Atal,/fr/player/240754/youcef-atal/,OGC Nice
Umut Bozok,/fr/player/239043/umut-bozok/,Nîmes Olympique
Lebo Mothiba,/fr/player/237631/lebo-mothiba/,RC Strasbourg
Oussama Haddadi,/fr/player/237548/oussama-haddadi/,Dijon FCO
James Léa Siliki,/fr/player/236998/james-l%C3%A9a-siliki/,Stade Rennais
Boubacar Kamara,/fr/player/236987/boubacar-kamara/,OM
Wesley Lautoa,/fr/player/236512/wesley-lautoa/,Dijon FCO
Patrick Burner,/fr/player/235981/patrick-burner/,OGC Nice
Ihsan Sacko,/fr/player/235554/ihsan-sacko/,OGC Nice
Guessouma Fofana,/fr/player/234622/guessouma-fofana/,EA Guingamp
Milan Gajić,/fr/player/229782/milan-gaji%C4%87/,Girondins de BX
Marcus Thuram,/fr/player/228093/marcus-thuram/,EA Guingamp
Sada Thioub,/fr/player/226861/sada-thioub/,Nîmes Olympique
Jonathan Bamba,/fr/player/225085/jonathan-bamba/,LOSC
Yann Bodiger,/fr/player/224591/yann-bodiger/,Toulouse FC
Bingourou Kamara,/fr/player/224442/bingourou-kamara/,RC Strasbourg
Moussa Doumbia,/fr/player/224368/moussa-doumbia/,Stade de Reims
Junior Sambia,/fr/player/223570/junior-sambia/,Montpellier HSC
Anthony Briançon,/fr/player/223138/anthony-brian%C3%A7on/,Nîmes Olympique
Thomas Touré,/fr/player/222883/thomas-tour%C3%A9/,Angers SCO
Jérôme Prior,/fr/player/222411/j%C3%A9r%C3%B4me-prior/,Girondins de BX
Cristian López,/fr/player/219641/cristian-l%C3%B3pez/,Angers SCO
Stiven Mendoza,/fr/player/214570/stiven-mendoza/,Amiens SC
Issiaga Sylla,/fr/player/212282/issiaga-sylla/,Toulouse FC
Mouez Hassen,/fr/player/209483/mouez-hassen/,OGC Nice
Tristan Dingomé,/fr/player/206506/tristan-dingom%C3%A9/,Stade de Reims
Yunis Abdelhamid,/fr/player/206493/yunis-abdelhamid/,Stade de Reims
Kalifa Coulibaly,/fr/player/206141/kalifa-coulibaly/,FC Nantes
Rachid Alioui,/fr/player/205188/rachid-alioui/,Nîmes Olympique
Stéphane Bahoken,/fr/player/203736/st%C3%A9phane-bahoken/,Angers SCO
Eddy Gnahoré,/fr/player/203393/eddy-gnahor%C3%A9/,Amiens SC
Lionel Carole,/fr/player/201041/lionel-carole/,RC Strasbourg
Abdoulaye Bamba,/fr/player/199313/abdoulaye-bamba/,Angers SCO
Petar Škuletić,/fr/player/193581/petar-%C5%A1kuleti%C4%87/,Montpellier HSC
Anthony Gonçalves,/fr/player/193147/anthony-gon%C3%A7alves/,RC Strasbourg
Yoann Andreu,/fr/player/190579/yoann-andreu/,Angers SCO
Fábio,/fr/player/189680/f%C3%A1bio/,FC Nantes
Franck Tabanou,/fr/player/188696/franck-tabanou/,EA Guingamp
Erwin Zelazny,/fr/player/188597/erwin-zelazny/,SM Caen
Marvin Martin,/fr/player/188385/marvin-martin/,Stade de Reims
Kolbeinn Sigþórsson,/fr/player/184255/kolbeinn-sig%C3%BE%C3%B3rsson/,FC Nantes
Cheick Traoré,/fr/player/240257/cheick-traor%C3%A9/,EA Guingamp
Jordi Mboula,/fr/player/239441/jordi-mboula/,AS Monaco
Myziane Maolida,/fr/player/234333/myziane-maolida/,OGC Nice
Romain Del Castillo,/fr/player/231612/romain-del-castillo/,Stade Rennais
Faitout Maouassa,/fr/player/230043/faitout-maouassa/,Nîmes Olympique
Kévin N'Doram,/fr/player/229011/k%C3%A9vin-ndoram/,AS Monaco
Jordan Siebatcheu,/fr/player/227558/jordan-siebatcheu/,Stade Rennais
Andrei Girotto,/fr/player/226515/andrei-girotto/,FC Nantes
Cédric Yambéré,/fr/player/225934/c%C3%A9dric-yamb%C3%A9r%C3%A9/,Dijon FCO
Olivier Boscagli,/fr/player/225863/olivier-boscagli/,OGC Nice
Mehmet Zeki Çelik,/fr/player/224490/mehmet-zeki-%C3%A7elik/,LOSC
